isin,company_name,org_perm_id,tax_id,hq_country,orgnr,method
SE0000169112,Marine Transport Corp,4295907066.0,,US,,none
SE0000169195,Evidentia Fastigheter AB (Publ),4295889817.0,,SE,556037-9248,manual
SE0000169658,International Petroleum Corp,5055417546.0,,CA,,none
SE0000170110,,,,,556191-8810,manual
SE0000170375,Hufvudstaden AB,4295890167.0,SE556012824001,SE,5560128240.0,lseg_taxid
SE0000170383,Hufvudstaden AB,4295890167.0,SE556012824001,SE,5560128240.0,lseg_taxid
SE0000170896,Linjebuss AB,4295890264.0,,SE,556134-3260,manual
SE0000171100,SSAB AB,4295889873.0,SE556016342901,SE,5560163429.0,lseg_taxid
SE0000171506,,,,,556003-6222,manual
SE0000171886,Svenska Cellulosa Aktiebolaget SCA,4295890025.0,SE556012629301,SE,5560126293.0,lseg_taxid
SE0000188500,Catella AB,4295890260.0,SE556079141901,SE,5560791419.0,lseg_taxid
SE0000188518,Catella AB,4295890260.0,SE556079141901,SE,5560791419.0,lseg_taxid
SE0000188930,Ortivus AB,4295890043.0,SE556259120501,SE,5562591205.0,lseg_taxid
SE0000189128,Narkes Elektriska AB,4295890059.0,,,556011-6830,manual
SE0000189417,Svenska Handelsbanken AB,8589934190.0,,SE,502007-7862,manual
SE0000189425,Svenska Handelsbanken AB,8589934190.0,,SE,502007-7862,manual
SE0000189433,Svenska Handelsbanken AB,8589934190.0,,SE,502007-7862,manual
SE0000189946,Industrial and Financial Systems IFS AB,4295890101.0,SE556122099601,SE,5561220996.0,lseg_taxid
SE0000189953,Industrial and Financial Systems IFS AB,4295890101.0,SE556122099601,SE,5561220996.0,lseg_taxid
SE0000190126,Industrivarden AB,4295890329.0,SE556043420001,SE,5560434200.0,lseg_taxid
SE0000190134,,,,,556229-7480,manual
SE0000191090,Ratos AB,4295889824.0,SE556008358501,SE,5560083585.0,lseg_taxid
SE0000191298,Realia AB (Old),4295889932.0,,SE,556034-0689,manual
SE0000191561,Enea AB,4295889892.0,SE556209714601,SE,5562097146.0,lseg_taxid
SE0000191827,,,,,556175-7047,manual
SE0000192403,,,,,556539-5689,manual
SE0000192874,Meroc Asset Management AB,5000001700.0,,SE,516401-9838,manual
SE0000192882,Meroc Asset Management AB,5000001700.0,,SE,516401-9838,manual
SE0000193120,,,,,502007-7862,manual
SE0000193286,Realia AB (Old),4295889932.0,,SE,556034-0689,manual
SE0000195570,Gunnebo AB,4295889964.0,SE556438262901,SE,5564382629.0,lseg_taxid
SE0000195802,Atle AB (Publ),4295889970.0,,SE,556454-8799,manual
SE0000195810,Bure Equity AB,4295889984.0,SE556454878101,SE,5564548781.0,lseg_taxid
SE0000202624,Getinge AB,4295889996.0,SE556408503201,SE,5564085032.0,lseg_taxid
SE0000204794,Celsius Ab*,4295890341.0,,SE,556083-7634,manual
SE0000204828,Rodamco Sverige AB,4295889848.0,SE556201865401,SE,5562018654.0,lseg_taxid
SE0000205932,,,,,556469-2019,manual
SE0000205940,,,,,556469-2019,manual
SE0000211682,JP Nordiska AB,4295889828.0,,SE,556306-0695,manual
SE0000214058,HL Display AB,4295890102.0,SE556286995701,SE,5562869957.0,lseg_taxid
SE0000215493,Doro AB,4295890051.0,SE556161942901,SE,5561619429.0,lseg_taxid
SE0000220824,Ahlstrom Sweden AB,4298141875.0,SE556669973101,SE,5566699731.0,lseg_taxid
SE0000221723,Meda AB,4295890088.0,SE556427281201,SE,5564272812.0,lseg_taxid
SE0000224446,,,,,556230-7867,manual
SE0000224578,IDEMIA Sweden Company AB,4295890068.0,SE556408385401,SE,5564083854.0,lseg_taxid
SE0000226367,Nobel Biocare AB,4296180123.0,SE556002023101,SE,5560020231.0,lseg_taxid
SE0000226607,Fastighets Gesimsen Gron AB,4298446345.0,,SE,556501-1771,manual
SE0000227258,Akzo Nobel NV,4295884730.0,001824521B01,NL,,none
SE0000230963,,,,,556016-9020,manual
SE0000232175,Hoganas AB,4295890345.0,SE556005012101,SE,5560050121.0,lseg_taxid
SE0000232282,Matteus Fondkommission AB,4295890090.0,,SE,556531-8515,manual
SE0000233082,,,,,556242-7152,manual
SE0000233801,Verimation AB,4295890136.0,,SE,556202-6401,manual
SE0000233934,Pricer AB,4295890058.0,SE556427799301,SE,5564277993.0,lseg_taxid
SE0000235574,Monark Stiga,4295890104.0,,SE,556035-3176,manual
SE0000236382,Concejo AB (publ),4295889999.0,SE556480332701,SE,5564803327.0,lseg_taxid
SE0000236515,,,,,556057-3981,manual
SE0000237315,,,,,556541-2094,manual
SE0000239733,Nordifagruppen AB,5000278945.0,,SE,556307-5692,manual
SE0000239741,Nordifagruppen AB,5000278945.0,,SE,556307-5692,manual
SE0000240558,Kronfagel Holding AB,4295890018.0,SE556529637201,SE,5565296372.0,lseg_taxid
SE0000240772,Provobis Hotel & Restauranger AB,4295890121.0,,SE,556086-3558,manual
SE0000241614,,,,,556299-6912,manual
SE0000242125,Baxter Medical AB,4295890017.0,SE556171065701,SE,5561710657.0,lseg_taxid
SE0000242455,Swedbank AB,8589934289.0,,SE,5020177753,manual
SE0000242711,,,,,556309-3359,manual
SE0000251902,Ledstiernan AB,4295890171.0,SE556122215801,SE,5561222158.0,lseg_taxid
SE0000254567,Klippan AB,4295890087.0,,SE,556089-3813,manual
SE0000254880,B Tankers AB,4295890072.0,,SE,556011-9685,manual
SE0000255648,,,,,556059-3575,manual
SE0000257792,Fagerlid Industrier Ab,4295890069.0,,SE,556231-2324,manual
